"id","year","return","patents.applied","patents.granted","stock.price","rnd.inmllns","sales.inmllns","lrnd","lsales","industry","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81"
1,72,0.897505735781521,1,1,58.9877322791387,10.880624510287,87.3362241377703,2.38698363962304,4.46976531535933,"Chemicals",1,0,0,0,0,0,0,0,0,0
1,73,2.59764551020661,4,3,55.322817639143,10.9026311614418,86.4827291276412,2.38900415106295,4.45994473073821,"Chemicals",0,1,0,0,0,0,0,0,0,0
1,74,2.71051909158327,17,10,54.13831524617,33.6357514192522,417.381169438381,3.515589531625,6.0339998796781,"Other",0,0,1,0,0,0,0,0,0,0
1,75,1.25543660524278,11,9,72.7300135160213,41.1393079736051,466.578041242887,3.7169640628292,6.14542529727736,"Food",0,0,0,1,0,0,0,0,0,0
1,76,3.32171543684747,1,1,43.9672885359718,8.87827145389419,93.1038263214026,2.18360688196313,4.53371528248684,"Pharma",0,0,0,0,1,0,0,0,0,0
1,77,1.14436831166701,3,1,52.0043562951868,2.27108067395886,67.9394483090374,0.820255786032264,4.21861684243214,"Electronics",0,0,0,0,0,1,0,0,0,0
1,78,5.59087878541959,21,15,68.3724307351693,66.3258093129999,716.29858636243,4.19457910218079,6.57409710009121,"Chemicals",0,0,0,0,0,0,1,0,0,0
1,79,1.88392785705796,7,6,53.0693284935302,4.31188497910808,170.336748052242,1.46137515864705,5.13777734860808,"Other",0,0,0,0,0,0,0,1,0,0
1,80,2.01638268685893,4,2,55.6270068598917,17.5084672429227,166.010316710718,2.86268460636818,5.11204993528513,"Food",0,0,0,0,0,0,0,0,1,0
1,81,1.41220385226111,12,8,60.7005548510693,14.1363551317737,155.350208966259,2.64874985720988,5.04568198097017,"Electronics",0,0,0,0,0,0,0,0,0,1
2,72,2.08891882137467,8,6,46.6022368705934,27.6965522527834,344.783302775826,3.32130793803804,5.8429161117928,"Other",1,0,0,0,0,0,0,0,0,0
2,73,3.12631479433095,4,3,37.2671666330859,7.52588443254467,132.286054684724,2.0183483362926,4.88496665879821,"Food",0,1,0,0,0,0,0,0,0,0
2,74,-1.11897072409601,13,5,31.1065730915249,27.1974392946778,356.250914463144,3.30312282529214,5.87563529849365,"Pharma",0,0,1,0,0,0,0,0,0,0
